#METABOLOMICS WORKBENCH STUDY_ID:ST000042 ANALYSIS_ID:AN000064
VERSION             	1
CREATED_ON          	2016-09-17
#PROJECT
PR:PROJECT_TITLE                 	BALF Studies
PR:PROJECT_TYPE                  	MS study
PR:PROJECT_SUMMARY               	Studies of BALF as a biofluid for metabolomics
PR:INSTITUTE                     	University of Michigan
PR:DEPARTMENT                    	UMich College of Pharmacy
PR:LABORATORY                    	Stringer Lab
PR:LAST_NAME                     	Stringer
PR:FIRST_NAME                    	Kathleen
PR:ADDRESS                       	Ann Arbor, MI
PR:EMAIL                         	stringek@umich.edu
PR:PHONE                         	734-647-4775
#STUDY
ST:STUDY_TITLE                   	BALF Control vs ALI by RPLC-MS
ST:STUDY_TYPE                    	MS
ST:STUDY_SUMMARY                 	BALF comparison of healthy controls vs patients with Acute Lung Injury.
ST:INSTITUTE                     	University of Michigan
ST:DEPARTMENT                    	Biomedical Research Core Facilities
ST:LABORATORY                    	Metabolomics core
ST:LAST_NAME                     	Kachman
ST:FIRST_NAME                    	Maureen
ST:ADDRESS                       	6300 Brehm Tower, 1000 Wall Street, Ann Arbor, MI 48105-5714
ST:EMAIL                         	mkachman@umich.edu
ST:PHONE                         	-
ST:NUM_GROUPS                    	2
ST:TOTAL_SUBJECTS                	23
#SUBJECT
SU:SUBJECT_TYPE                  	HUMAN
SU:SUBJECT_SPECIES               	Homo sapiens
SU:TAXONOMY_ID                   	9606
SU:SPECIES_GROUP                 	Human
#SUBJECT_SAMPLE_FACTORS:         	SUBJECT(optional)[tab]SAMPLE[tab]FACTORS(NAME:VALUE pairs separated by |)[tab]Additional sample data
SUBJECT_SAMPLE_FACTORS           	-	S00010313	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010314	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010315	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010316	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010317	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010318	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010322	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010323	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010324	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010325	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010326	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010327	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010328	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010329	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010330	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010331	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010332	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010333	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010334	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010335	Condition:Acute lung injury	
SUBJECT_SAMPLE_FACTORS           	-	S00010319	Condition:Healthy	
SUBJECT_SAMPLE_FACTORS           	-	S00010320	Condition:Healthy	
SUBJECT_SAMPLE_FACTORS           	-	S00010321	Condition:Healthy	
#COLLECTION
CO:COLLECTION_SUMMARY            	-
CO:SAMPLE_TYPE                   	Bronchoalveolar Lavage Fluid
#TREATMENT
TR:TREATMENT_SUMMARY             	-
#SAMPLEPREP
SP:SAMPLEPREP_SUMMARY            	-
SP:SAMPLEPREP_PROTOCOL_FILENAME  	EX00184-Sample_preparation_protocol.pdf
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_TYPE           	-
CH:INSTRUMENT_NAME               	-
CH:COLUMN_NAME                   	Waters Acquity HSS T3:Waters Acquity HSS T3
CH:METHODS_ID                    	AQM003:AQM004
CH:METHODS_FILENAME              	Column1_lowinj_jetstream_grad9.m.zip
#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
AN:LABORATORY_NAME               	MRC2 (University of Michigan)
AN:ANALYSIS_PROTOCOL_FILE        	Metabolomic_analysis_of_lung_lavage_fluid RP-LC-MS.docx
AN:ACQUISITION_PARAMETERS_FILE   	Column1_solv1_lowinj_jetstream_pos_grad9.m.zip
AN:PROCESSING_PARAMETERS_FILE    	LCPosDataProcessing.m
#MS
MS:INSTRUMENT_NAME               	Agilent 6530 QTOF
MS:INSTRUMENT_TYPE               	Q-TOF
MS:MS_TYPE                       	ESI
MS:ION_MODE                      	POSITIVE
#MS_METABOLITE_DATA
MS_METABOLITE_DATA:UNITS	Counts
MS_METABOLITE_DATA_START
Samples	S00010313	S00010314	S00010315	S00010316	S00010318	S00010322	S00010323	S00010324	S00010325	S00010326	S00010327	S00010328	S00010329	S00010330	S00010331	S00010332	S00010333	S00010334	S00010335	S00010319	S00010321
CYCLOHEXANE-1_3-DIONE	129694.0000	144867.0000	133968.0000	44737.0000	124619.0000	125557.0000	41597.0000	90456.0000	148441.0000	151184.0000	68398.0000	81513.0000	155306.0000	83028.0000	158949.0000	59422.0000	106793.0000	70581.0000	110502.0000	141885.0000	132368.0000
CYCLOHEXANE-1_3-DIONE_1						29668.0000							43893.0000	18691.0000							
CYSTINE						23912.0000								15783.0000					21261.0000		
DECANOYLCARNITINE (*)																	10059.0000				
DEOXYCHOLATE					75703.0000						129077.0000	18458.0000			22130.0000						
DEOXYCHOLATE_1																				40647279.0000	
DEOXYCORTICOSTERONE	88523.0000				37359.0000	68194.0000	233509.0000				105650.0000	111535.0000	56735.0000			43307.0000		115682.0000		36143.0000	
DEOXYCORTICOSTERONE_1	88925.0000	108745.0000	117563.0000			243271.0000			118988.0000			89591.0000	56182.0000	91151.0000	78833.0000	57279.0000	166056.0000	87255.0000		68126.0000	
DEOXYRIBOSE	20389.0000	132480.0000	124398.0000	144336.0000	72965.0000	20865.0000	123127.0000	24796.0000	21015.0000	43609.0000	18480.0000	21390.0000	122229.0000		56787.0000	50206.0000	109452.0000	13728.0000	13371.0000	17578.0000	18373.0000
DEOXYURIDINE																		39684.0000			
DEOXYURIDINE_1																		31510.0000			
DETHIOBIOTIN			42187.0000				29265.0000						42875.0000								
DETHIOBIOTIN_1		170074.0000		19692.0000		131627.0000	143200.0000				66118.0000		138895.0000	148299.0000		128863.0000				151560.0000	140824.0000
DIACYL-PHOSPHATIDYLCHOLINE			79312.0000															20124.0000			
DIETHYL 2-METHYL-3-OXOSUCCINATE		36232.0000	45548.0000		28463.0000	26284.0000		29272.0000	27467.0000			16433.0000	10401.0000				53422.0000	11177.0000	77404.0000		10387.0000
DIHEXOSE	21763.0000		23101.0000	23095.0000	22087.0000		44904.0000	21774.0000	68736.0000		17847.0000	47810.0000			30315.0000	82225.0000	66694.0000	21478.0000	100830.0000	22107.0000	
DIHYDROXYBENZOIC ACID	90297.0000	29965.0000	43936.0000		27892.0000	25142.0000		70971.0000	66811.0000	38310.0000	30283.0000	24996.0000	59280.0000		42177.0000	39385.0000	46434.0000	41848.0000	49601.0000		32064.0000
DI-LINOLEOYL-3-SN-PHOSPHATIDYLCHOLINE (POSSIBLY)											47565.0000		74291.0000			118943.0000	60856.0000	94606.0000		50628.0000	62520.0000
DIMETHYLARGININE (*)		16433.0000	30163.0000			35846.0000	65339.0000	19083.0000	13241.0000	24956.0000	40570.0000			61957.0000			22060.0000	179487.0000	44820.0000		
DIMETHYLBENZIMIDAZOLE						24739.0000		17882.0000		30960.0000											
DIMETHYL MALEATE	13982.0000	20521.0000	22261.0000		21173.0000				28676.0000				16072.0000				42232.0000				
DIMETHYL MALEATE_1			11159.0000																		
DIMETHYLXANTHINE (*)						73781.0000															
DIOLEOYLPHOSPHATIDYLCHOLINE		27883.0000																			
DIPALMITOYLGLYCEROL (*)		45142.0000		88877.0000										47419.0000			52323.0000				
DI-TERT-BUTYL DICARBONATE	27410.0000								18251.0000							25210.0000					
DOCOSAHEXAENOIC ACID					34856.0000									23928.0000							
DOCOSAHEXAENOIC ACID_1																					21709.0000
DOCOSAHEXAENOYLGLYCEROPHOSPHOETHANOLAMINE (*)	91837.0000	168233.0000	68164.0000	14895270.0000	47066.0000	553100.0000	20792673.0000	81598.0000	62788.0000	81741.0000	18427662.0000	1180242.0000	357295.0000	41701.0000	68338.0000	190353.0000	51000.0000		69175.0000	45376.0000	40779.0000
DOPAMINE							25064.0000									16283.0000		19140.0000			
EDTA										47494.0000					39924.0000						
EDTA (*)			124268.0000										205574.0000		121904.0000	111802.0000		232140.0000			105988.0000
EDTA (*)_1	59989.0000	50214.0000		58614.0000	107611.0000	39453.0000	30407.0000	65962.0000	56196.0000	46360.0000	49158.0000	60716.0000		35629.0000	40098.0000		65979.0000		47587.0000		
EPINEPHRINE	295761.0000	572373.0000	79317.0000	50428.0000	601024.0000	147110.0000	124316.0000	110799.0000	107646.0000	315570.0000	282271.0000		171033.0000	95122.0000		905737.0000	328252.0000	416877.0000	180309.0000		19162.0000
ERYTHRITOL					16166.0000									22118.0000				26916.0000		18747.0000	
ESTRADIOL 17 ALPHA							104040.0000														254640.0000
ESTRONE										185479.0000					285554.0000						
ETHYL 3-INDOLE ACETATE					10705.0000						25486.0000										
ETHYL 4-OXOCYCLOHEXANECARBOXYLATE	362830.0000	428055.0000	300640.0000	195533.0000	714527.0000	275245.0000	120503.0000	682385.0000	705509.0000	749967.0000	98698.0000	584316.0000	237241.0000	430289.0000	664314.0000	569243.0000	752486.0000	533583.0000	730982.0000	391219.0000	376721.0000
ETHYL 4-OXOCYCLOHEXANECARBOXYLATE_1	317659.0000	424275.0000	371160.0000	27545.0000	342606.0000		112212.0000	331439.0000	417074.0000	348163.0000	446269.0000	356124.0000	305640.0000	335865.0000	324421.0000	201459.0000	456534.0000	334717.0000	436915.0000	331101.0000	316803.0000
ETHYLMALONIC ACID	35446.0000	50255.0000	45248.0000	41413.0000		19750.0000	48315.0000		40324.0000		22012.0000		31913.0000	44718.0000	31363.0000	34388.0000	45667.0000	30045.0000		37697.0000	
FERULATE	2020928.0000	2311229.0000	2065472.0000	671526.0000	2104463.0000	2182758.0000	507952.0000	2122821.0000	2142676.0000	1928002.0000	2020717.0000	2155108.0000	2007708.0000	2269373.0000	1854990.0000	1663279.0000	2263412.0000	1663801.0000	2242962.0000	2016957.0000	2006922.0000
FERULATE_1	254554.0000	232049.0000	215339.0000	71910.0000	217781.0000	234113.0000		243723.0000	230516.0000	226003.0000	243256.0000	273081.0000	216599.0000	236352.0000	188683.0000	168657.0000	261623.0000	138370.0000	239385.0000	228928.0000	225389.0000
GAMMA-GLUTAMYLPHENYLALANINE (*)												42281.0000			46277.0000	24950.0000					
GAMMA-GLUTAMYLTYROSINE (*)																		127205.0000			
GLUTAMIC ACID	55858.0000	89785.0000	28228.0000	52730.0000	158003.0000	22750.0000	75726.0000	24497.0000	18268.0000	21786.0000	41848.0000		41885.0000	44273.0000	32397.0000	183510.0000	60000.0000	316085.0000	30172.0000		
GLUTAMINE	55322.0000	33933.0000	17621.0000	31957.0000	70091.0000	39319.0000	40245.0000	13394.0000	60211.0000	49656.0000	61117.0000		19224.0000	39183.0000	33953.0000	72077.0000	36915.0000		38241.0000		
GLUTAMINE_1	28800.0000	20110.0000			27632.0000	18195.0000	14641.0000		31793.0000	19789.0000	27819.0000			16270.0000	12906.0000	34544.0000		54484.0000			
GLUTATHIONE		149336.0000	34822.0000		38835.0000						21698.0000					154930.0000	77410.0000	81058.0000		105827.0000	54663.0000
GLYCEROPHOSPHOCHOLINE (*)		24183.0000			23532.0000										41689.0000	45444.0000					
GLYCOCHOLATE		36236.0000			34882.0000		71251.0000	40802.0000		37281.0000	50355.0000		22492.0000	37448.0000		44481.0000	45820.0000		37789.0000	26277.0000	
GUANINE				32649.0000			105025.0000				45012.0000						30677.0000	147639.0000			
GUANOSINE	96922.0000	218182.0000	199403.0000	273660.0000	56037.0000	46665.0000	258427.0000	38842.0000	49381.0000	41232.0000	106088.0000		73692.0000	69307.0000	73084.0000	94435.0000	80412.0000	33670.0000	23172.0000	14066.0000	46817.0000
HEXITOL			55718.0000					40109.0000				27270.0000	1052570.0000		69131.0000			5404636.0000			
HEXOSE	2212733.0000	1198530.0000	719022.0000	1753635.0000	2056577.0000	2763341.0000	6826640.0000	995234.0000	1443301.0000	2317352.0000	2968487.0000	502310.0000	1847756.0000	1710544.0000	595089.0000	2847451.0000	1070623.0000	434299.0000	2531868.0000	161139.0000	145734.0000
HEXOSE (*)	126144.0000	80265.0000	66716.0000	137979.0000	167310.0000	119066.0000	315056.0000	63271.0000	89578.0000	93992.0000	162022.0000		112893.0000	99084.0000	118678.0000	205863.0000	88756.0000	73018.0000	163004.0000		
HEXURONIC ACID																		24820.0000			
HIPPURATE	25624.0000					66040.0000		56567.0000	107515.0000	31906.0000			27080.0000	144235.0000				271434.0000	46130.0000		
HIPPURATE_1	32079.0000		24867.0000			89519.0000		69308.0000	143641.0000	50244.0000	33313.0000		27699.0000	169465.0000				370519.0000	49236.0000		
HISTIDINE																		15329.0000			
HISTIDINE (*)																70809.0000		57815.0000		56628.0000	
HOMOSERINE																		98485.0000			
HOMOSTACHYDRINE (*)						21379.0000															
HOMOVANILLATE	58269.0000	44826.0000				43869.0000			38851.0000		28688.0000			24891.0000				20820.0000		48264.0000	90430.0000
HYDROXYPHENYLACETIC / MANDELIC ACID		20036.0000	25566.0000					20590.0000	43117.0000						21884.0000						
HYPOXANTHINE	472586.0000	290509.0000	224546.0000	785281.0000	95533.0000	373855.0000	1353799.0000	326723.0000	307526.0000	285968.0000	827365.0000		507543.0000	450781.0000	539009.0000	839054.0000	342999.0000	5881076.0000	376053.0000	11953.0000	41620.0000
HYPOXANTHINE_1																		81454.0000			
INDOLE-3-ACETALDEHYDE														26662.0000							
INDOLE-3-ACETAMIDE					42186.0000	41453.0000			27013.0000				34406.0000	10484.0000							
INDOLE-3-ACETIC ACID	20539.0000	20299.0000	28208.0000		23981.0000	18632.0000			23626.0000	20106.0000		24609.0000		14665.0000					27376.0000		
INDOLE-3-ETHANOL			18465.0000																		
INDOXYL		225611.0000							238301.0000			199257.0000	240001.0000		235600.0000		256179.0000		260887.0000		
INOSINE	307102.0000	763513.0000	400003.0000	839464.0000	246259.0000	136946.0000	490219.0000	137493.0000	148823.0000	148842.0000	260057.0000	27378.0000	183248.0000	199782.0000	197504.0000	352740.0000	321932.0000	1177789.0000	83052.0000	110625.0000	208496.0000
INOSINE_1	121094.0000	280197.0000	145199.0000	309120.0000	92538.0000	46856.0000	175382.0000	47074.0000	43946.0000	48204.0000	96368.0000		74598.0000	74851.0000	75570.0000	131835.0000	118447.0000	285691.0000	24795.0000	37397.0000	79550.0000
ISOLEUCINE																			18807.0000		
ISOVALERYLCARNITINE (*)	33910.0000	49870.0000			20493.0000	48190.0000	25292.0000		29889.0000	51110.0000	26842.0000	59608.0000		56239.0000		38745.0000	36437.0000				
KYNURENINE	44721.0000	54533.0000				25900.0000	41026.0000	15317.0000	21521.0000	60884.0000	36442.0000		18520.0000	133385.0000		28848.0000	36462.0000	46858.0000	44475.0000		
LAUROYLCARNITINE																	10432.0000				
LEUCINE	1023548.0000	1535125.0000	286575.0000	572790.0000	924600.0000	547376.0000	4209988.0000	310136.0000	1522328.0000	875104.0000	1048792.0000	253681.0000	282661.0000	993485.0000	1266185.0000	713553.0000	706362.0000	14059737.0000	1549912.0000	514076.0000	239546.0000
LEUCYLPHENYLALANINE (*)	28118.0000	24706.0000						44924.0000	47516.0000	27254.0000			24091.0000					1983285.0000	22643.0000		
LINOLEOYLGLYCEROPHOSPHOCHOLINE (*)																		29962.0000	18120.0000		
LINOLEOYLGLYCEROPHOSPHOCHOLINE (*)_1																54802.0000					
LINOLEOYLGLYCEROPHOSPHOCHOLINE (*)_2	149442.0000	185326.0000	89501.0000	41212570.0000	68585.0000	570186.0000	43693560.0000	108975.0000	84968.0000	129944.0000	18671077.0000	1236438.0000	535000.0000	50576.0000	129356.0000	304511.0000	66145.0000	296508.0000	86306.0000	47693.0000	54249.0000
LL-2_6-DIAMINOHEPTANEDIOATE																		43978.0000			
LUMICHROME	38389.0000	63821.0000			34215.0000	40842.0000				48610.0000		24205.0000	13640.0000	66143.0000	12174.0000		21048.0000				68086.0000
LUMICHROME_1																		27831.0000			
LYSINE	27305.0000	25642.0000	34908.0000	13047.0000	28951.0000	23331.0000	45753.0000		27153.0000	22794.0000	29845.0000			23235.0000	28272.0000	27925.0000	21303.0000	302723.0000	22289.0000		
MALATE																		74027.0000			
MELATONIN																		126550.0000			
MELATONIN_1																		221729.0000			
MELATONIN_2				44073.0000																	
METHIONINE	171320.0000	129120.0000	45256.0000	118289.0000	78131.0000	73851.0000	190355.0000	56488.0000	112037.0000	82309.0000	168891.0000	29507.0000	28853.0000	136267.0000	82048.0000	112225.0000	320639.0000	2233698.0000	211192.0000		
METHYL BETA-D-GALACTOSIDE									21045.0000				29555.0000			34003.0000					
METHYLGLUTAROYLCARNITINE (*)																		284718.0000			
METHYL INDOLE-3-ACETATE				28084.0000							14792.0000										
METHYL JASMONATE	2704395.0000	2660160.0000	2247796.0000	2027558.0000	2631887.0000	2505792.0000	1657833.0000	2676533.0000	2691332.0000	2522770.0000	2866230.0000	2586100.0000	2218577.0000	2669254.0000	2107736.0000	1822623.0000	2686668.0000	2210811.0000	2656412.0000	2180669.0000	2160854.0000
METHYL JASMONATE_1	3537383.0000	3660804.0000	3297597.0000	2813483.0000	3493535.0000	3558709.0000	2299730.0000	3658867.0000	3711787.0000	3374510.0000	3837834.0000	3829822.0000	3054485.0000	3801520.0000	2723104.0000	2403660.0000	3706298.0000	3140549.0000	3674478.0000	3123398.0000	3007899.0000
METHYLMALONATE																		53990.0000			
METHYL PARABEN			19444.0000			20964.0000			38840.0000	24455.0000	70925.0000		58593.0000	78117.0000	38163.0000			108209.0000	92864.0000		
MONO-ETHYL MALONATE												55516.0000									
MONO-METHYL GLUTARATE	31132.0000	23152.0000	17422.0000		25174.0000					30500.0000							36467.0000		29757.0000	23445.0000	
N1-ACETYLSPERMINE																		35212.0000			
N1-METHYL-2-PYRIDONE-5-CARBOXAMIDE (*)		375146.0000																149517.0000			
N1-METHYL-2-PYRIDONE-5-CARBOXAMIDE (*)_1		1037418.0000	43383.0000		28369.0000	33887.0000	82120.0000	47866.0000		89067.0000	70425.0000		45840.0000	132194.0000	29791.0000	37900.0000	30672.0000	565789.0000			
N1-METHYL-2-PYRIDONE-5-CARBOXAMIDE (*)_2		252788.0000																201930.0000			
N6-(DELTA2-ISOPENTENYL)-ADENINE													36091.0000				25742.0000				
N6-(DELTA2-ISOPENTENYL)-ADENINE_1																		28550.0000			
N-ACETYL-D-HEXOSAMINE							26904.0000								28969.0000			140030.0000			
N-ACETYLGLYCINE							21224.0000														
N-ACETYL-L-ALANINE						16805.0000	13030.0000				17032.0000			13115.0000							
N-ACETYL-L-ALANINE_1						23927.0000	26024.0000				17514.0000			23674.0000				76098.0000			
N-ACETYL-L-ASPARTIC ACID			21303.0000												11730.0000			26595.0000			
N-ACETYL-L-CYSTEINE										2585484.0000				1259692.0000							
N-ACETYL-L-CYSTEINE_1										5034764.0000				2477348.0000							
N-ACETYL-L-LEUCINE	40018.0000							42430.0000			16002.0000		20750.0000						37224.0000	34731.0000	81195.0000
N-ACETYL-L-PHENYLALANINE		22426.0000	17103.0000					15065.0000		19514.0000											
N-ACETYL-L-PHENYLALANINE_1	27114.0000		64544.0000						39565.0000			51444.0000									
N-ACETYLPUTRESCINE									18006.0000					15965.0000				87572.0000			
N-ACETYLSEROTONIN								141884.0000							150041.0000						
N-ACETYLSEROTONIN_1	18444.0000																				
N-BENZYLOXYCARBONYLGLYCINE							71269.0000				44331.0000										
N-CYCLOHEXYLFORMAMIDE	89580.0000	77839.0000	137258.0000	18251.0000	77388.0000	42345.0000		165958.0000	136727.0000	161173.0000	72665.0000	137273.0000	79521.0000	91865.0000	82098.0000	72807.0000	158789.0000	147735.0000	82540.0000	78483.0000	83050.0000
N-CYCLOHEXYLFORMAMIDE_1	136543.0000	147429.0000	126101.0000		146431.0000	102915.0000		144924.0000	138026.0000	133284.0000	62541.0000	126696.0000	130888.0000		123447.0000	109894.0000	156501.0000	97403.0000	148908.0000	115298.0000	124367.0000
N-CYCLOHEXYLFORMAMIDE_2						30449.0000		30496.0000	18199.0000	29491.0000		29575.0000	23792.0000	19561.0000	18718.0000	29975.0000	18112.0000	27483.0000	33144.0000		
N-CYCLOHEXYLSULFAMIC ACID						71452.0000								144246.0000				269744.0000			
NICOTINAMIDE	106984.0000	299521.0000	209788.0000	440674.0000	140487.0000	45171.0000	338746.0000	99312.0000	27213.0000	100002.0000	150391.0000	58626.0000	119948.0000	120606.0000	156667.0000	375685.0000	215366.0000	31598.0000	92994.0000	54294.0000	128311.0000
N_N_N-TRIMETHYLLYSINE																		49442.0000			
N-OLEOYLGLYCINE			12917.0000	43337.0000			14717.0000			43524.0000								26002.0000			
NORMETANEPHRINE				42488.0000														68088.0000			
O-ACETYL-L-CARNITINE	1511231.0000	3877452.0000	1123993.0000	1239288.0000	2281399.0000	1587346.0000	1649437.0000	1039370.0000	1403492.0000	1580858.0000	2295775.0000	311755.0000	1073023.0000	1129520.0000	407762.0000	2412987.0000	2964417.0000	10268764.0000	1260194.0000	163318.0000	170188.0000
OCTANOYLCARNITINE (*)						39950.0000			114942.0000		91998.0000							18474.0000			
OLEAMIDE		16972.0000									28430.0000			25163.0000			54889.0000				
OLEAMIDE_1						29240.0000															
OLEOYLCARNITINE (*)					18288.0000																
OLEOYLGLYCEROPHOSPHOCHOLINE (*)																		45527.0000	34933.0000		
O-PHOSPHONOHEXOPYRANOSE															11960.0000						
ORNITHINE	101009.0000		73083.0000	86731.0000	100959.0000		111439.0000		79303.0000	115972.0000	90372.0000	62842.0000	74752.0000		97951.0000	82283.0000	93533.0000	136574.0000		52374.0000	62724.0000
ORNITHINE_1					13210.0000													65872.0000			
PALMITOLEOYLGLYCEROPHOSPHOCHOLINE (*)				63938.0000			79636.0000	79208.0000						107660.0000				120528.0000	149768.0000		
PALMITOLEOYLGLYCEROPHOSPHOCHOLINE (*)_1	90058.0000	63303.0000	47785.0000	107092.0000	121949.0000	88482.0000		98542.0000	77532.0000	90913.0000	75299.0000	71469.0000	112254.0000	132160.0000	76430.0000	123997.0000	54519.0000	112829.0000	193052.0000	75240.0000	73603.0000
PALMITOYLCARNITINE (*)		15128.0000			16339.0000												17601.0000				
PALMITOYLGLYCEROPHOSPHOCHOLINE (*)			28751.0000						22543.0000				38717.0000		33719.0000	48008.0000		90863.0000	22748.0000	47290.0000	40003.0000
PALMITOYLGLYCEROPHOSPHOCHOLINE (*)_1							76450.0000														
PALMITOYLGLYCEROPHOSPHOCHOLINE (*)_2															45176.0000						
PALMITOYL SPHINGOMYELIN (*)						49776.0000	57157.0000		71666.0000									254482.0000			
PANTOLACTONE	70358.0000	62591.0000	92861.0000	54801.0000	114011.0000	72573.0000	26969.0000	56646.0000	128485.0000	45346.0000	45598.0000	50753.0000	105464.0000	98893.0000	115547.0000	133582.0000	67656.0000	50723.0000	109026.0000	70802.0000	54859.0000
PANTOLACTONE_1	198557.0000	205124.0000	237012.0000	32059.0000	188639.0000			341307.0000	330829.0000	246224.0000	139433.0000	234964.0000	288150.0000	198444.0000	242162.0000	198087.0000	388416.0000	119205.0000	258730.0000	215843.0000	206409.0000
PANTOTHENIC ACID		10748.0000		78089.0000							27143.0000	29721.0000		16754.0000							
PENTITOL	147638.0000	124597.0000	125980.0000	108186.0000	391227.0000	105558.0000	137327.0000	126664.0000	127294.0000	117239.0000	113722.0000	140024.0000	163643.0000	107843.0000	310743.0000	285528.0000	177254.0000	122564.0000	108966.0000	112874.0000	115445.0000
PENTOPYRANOSE			28700.0000						20756.0000				46672.0000	22688.0000			18024.0000	138059.0000			
PHENETHYLAMINE													12422.0000								
PHENYLACETIC ACID	22742.0000		28912.0000			17520.0000						24932.0000	19063.0000				18822.0000		34625.0000		
PHENYLACETYLGLUTAMINE (*)													122213.0000					805835.0000			
PHENYLALANINE	3058101.0000	2240461.0000	1683330.0000	2153933.0000	1594744.0000	2553288.0000	3701688.0000	1848677.0000	2363915.0000	2254066.0000	3170126.0000	1486393.0000	1639253.0000	3394409.0000	1758198.0000	2165422.0000	3000393.0000	18820216.0000	4309398.0000	1331885.0000	1306206.0000
PHENYLALANINE_1	58892.0000	166570.0000	37732.0000	37341.0000	28498.0000	56806.0000	1500786.0000	32163.0000	73479.0000	263916.0000	67645.0000	28762.0000	36439.0000	63767.0000	39349.0000	47565.0000	139352.0000	269275.0000	109204.0000	24721.0000	33763.0000
PHTHALATE													25649.0000		45361.0000	29570.0000		27267.0000	31965.0000	34638.0000	
PIMELIC ACID	40345.0000	72381.0000	74290.0000		85010.0000	44042.0000		59397.0000	31740.0000	34981.0000	28663.0000	109426.0000	49213.0000	24868.0000	18433.0000	43738.0000	100918.0000	21088.0000	95622.0000	49577.0000	96782.0000
PIPECOLIC ACID	24609.0000	68173.0000			67625.0000	73841.0000	110869.0000	46908.0000	62830.0000	93724.0000	82149.0000		36460.0000	53619.0000	41470.0000	93557.0000	78300.0000	100732.0000	86593.0000	28844.0000	
PIPERINE (*)						135187.0000															
POSSIBLE L-LEUCYL-L-LEUCINE				11516.0000		15473.0000		16904.0000					20468.0000					4750780.0000			
PREGNENOLONE	316464.0000			90597.0000			56340.0000	220537.0000	339320.0000		107533.0000	218649.0000		304251.0000	288013.0000				154219.0000		93570.0000
PROGESTERONE	277546.0000							302210.0000								224687.0000				160180.0000	
PROGESTERONE_1	73824.0000	39950.0000				18106.0000	11369.0000	75927.0000			19121.0000	61045.0000		20601.0000	13312.0000		44710.0000				
PRO-HYDROXY-PRO (*)							17938.0000							17205.0000				103021.0000			
PROLINE	560664.0000	588991.0000	455826.0000	477608.0000	687271.0000	652496.0000	982188.0000	463952.0000	687473.0000	491714.0000	551701.0000		476869.0000	554611.0000	602448.0000	741456.0000	561691.0000	4228868.0000	632881.0000	36651.0000	82477.0000
PROMETRYN		43389.0000						26849.0000													
PROMETRYN_1	53983.0000			33271.0000		42377.0000								33567.0000							
PROPIONYLCARNITINE (*)	161104.0000	456737.0000	86814.0000	39663.0000	75094.0000	61343.0000	131011.0000		55514.0000	148237.0000	167714.0000		49149.0000	105130.0000	43401.0000	320702.0000	170662.0000	1039278.0000	90263.0000		
PYRIDINE CARBOXYLIC ACID							31063.0000											203228.0000			
PYRIDOXAL		16020.0000		27314.0000														22642.0000			
PYROGLUTAMINE (*)			45664.0000		56422.0000	286040.0000	94675.0000		48438.0000	266695.0000	108092.0000		81410.0000	158363.0000		17910.0000		412148.0000			
QUINOLIN-2-OL																				18825.0000	
RETINAL									22037.0000	34717.0000	45465.0000					13721.0000			14190.0000		22854.0000
RETINAL_1																					
RETINOL		71801.0000	138177.0000	124762.0000	173143.0000	261262.0000		88448.0000	70042.0000		85941.0000		104298.0000	88057.0000			110219.0000		93300.0000		
RIBOFLAVIN	64086.0000	75750.0000	37812.0000								14673.0000								73242.0000		
SELENOCYSTAMINE																		26113.0000			
S-HEXYL-GLUTATHIONE				30920.0000			28914.0000				27210.0000										
SHIKIMATE	114551.0000	89338.0000	84117.0000	70536.0000	242963.0000	59665.0000	59582.0000	66125.0000	75143.0000	71586.0000	82262.0000	98359.0000	110392.0000	43895.0000	203056.0000	184551.0000	107687.0000	52989.0000	55373.0000	65986.0000	72863.0000
