#METABOLOMICS WORKBENCH STUDY_ID:ST000215 ANALYSIS_ID:AN000317
VERSION             	1
CREATED_ON          	2016-09-17
#PROJECT
PR:PROJECT_TITLE                 	Regulation of hepatic metabolism
PR:PROJECT_SUMMARY               	Examine metabolite in liver and plasma before and after 13C-glucose load in
PR:PROJECT_SUMMARY               	type, LIRKO and LIRFKO mice
PR:INSTITUTE                     	University of Chicago
PR:DEPARTMENT                    	Jesse Brown VA Medical Center
PR:LABORATORY                    	Unterman Lab
PR:LAST_NAME                     	Unterman
PR:FIRST_NAME                    	Terry
PR:ADDRESS                       	Chicago, IL
PR:EMAIL                         	unterman@uic.edu
PR:PHONE                         	847-778-0943
#STUDY
ST:STUDY_TITLE                   	Liver and Plasma metaboites for 13C-glucose load in wild type, LIRKO GTT 1 mice
ST:STUDY_SUMMARY                 	Mice were fasted for 18 hr overnight then sacrificed or treated with
ST:STUDY_SUMMARY                 	(2 g/kg ip) and sacrificed 1 hr later by decapitation and liver was immediately
ST:STUDY_SUMMARY                 	and stored in liquid N2 and then at -80 C. Wild type (IR and IR/FoxO1 floxed)
ST:STUDY_SUMMARY                 	were sacrificed after fasting and 1 hr post-glucose treatment. Liver-specific
ST:STUDY_SUMMARY                 	receptor knockout (LIRKO) and insulin receptor/FoxO1 double knockout (LIRFKO)
ST:STUDY_SUMMARY                 	were sacrificed 1 hr post glucose treatment
ST:INSTITUTE                     	University of Michigan
ST:DEPARTMENT                    	Biomedical Research Core Facilities
ST:LABORATORY                    	Metabolomics core
ST:LAST_NAME                     	Kachman
ST:FIRST_NAME                    	Maureen
ST:ADDRESS                       	6300 Brehm Tower, 1000 Wall Street, Ann Arbor, MI 48105-5714
ST:EMAIL                         	mkachman@umich.edu
ST:PHONE                         	-
ST:NUM_GROUPS                    	5
ST:TOTAL_SUBJECTS                	40
#SUBJECT
SU:SUBJECT_TYPE                  	-
SU:SUBJECT_SPECIES               	Mus musculus
SU:TAXONOMY_ID                   	10090
#SUBJECT_SAMPLE_FACTORS:         	SUBJECT(optional)[tab]SAMPLE[tab]FACTORS(NAME:VALUE pairs separated by |)[tab]Additional sample data
SUBJECT_SAMPLE_FACTORS           	SU0003002	S00013145	treatment:glucose | Strain:IRF floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003001	S00013143	treatment:glucose | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003001	S00013142	treatment:glucose | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003001	S00013144	treatment:glucose | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003004	S00013152	treatment:glucose | Strain:LIRFKO	
SUBJECT_SAMPLE_FACTORS           	SU0003004	S00013153	treatment:glucose | Strain:LIRFKO	
SUBJECT_SAMPLE_FACTORS           	SU0003004	S00013154	treatment:glucose | Strain:LIRFKO	
SUBJECT_SAMPLE_FACTORS           	SU0003004	S00013155	treatment:glucose | Strain:LIRFKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013146	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013147	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013148	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013149	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013150	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003003	S00013151	treatment:glucose | Strain:LIRKO	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013136	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013137	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013138	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013139	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013140	treatment:none | Strain:IR floxed	
SUBJECT_SAMPLE_FACTORS           	SU0003000	S00013141	treatment:none | Strain:IR floxed	
#COLLECTION
CO:COLLECTION_SUMMARY            	-
CO:SAMPLE_TYPE                   	Liver
#TREATMENT
TR:TREATMENT_SUMMARY             	-
#SAMPLEPREP
SP:SAMPLEPREP_SUMMARY            	-
SP:SAMPLEPREP_PROTOCOL_FILENAME  	Fluxomics_analysis_protocol-2015-03-11.docx
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_TYPE           	-
CH:INSTRUMENT_NAME               	-
CH:COLUMN_NAME                   	Luna 3 m NH2 100 , LC Column 150 x 1 mm, Ea (Phenomenex Inc.)
CH:METHODS_ID                    	AQM010
CH:METHODS_FILENAME              	QTOF-002-HILIC-35min-1mm.m.zip
#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
AN:LABORATORY_NAME               	MRC2 (University of Michigan)
AN:ACQUISITION_PARAMETERS_FILE   	QTOF-002-HILIC-35min-1mm.m.zip
AN:PROCESSING_PARAMETERS_FILE    	EX00258-flux-MassHunterQuant-GlyTCA-DataAnalysis-LCMS-Method.m.zip
#MS
MS:INSTRUMENT_NAME               	Agilent 6520 QTOF
MS:INSTRUMENT_TYPE               	Q-TOF
MS:MS_TYPE                       	ESI
MS:ION_MODE                      	NEGATIVE
#MS_METABOLITE_DATA
MS_METABOLITE_DATA:UNITS	Area
MS_METABOLITE_DATA_START
Samples	S00013145	S00013143	S00013142	S00013144	S00013152	S00013153	S00013154	S00013155	S00013146	S00013147	S00013148	S00013149	S00013150	S00013151	S00013136	S00013137	S00013138	S00013139	S00013140	S00013141
3-phosphoglyceraldehyde_2				729			G3P_13C_1	
3-phosphoglyceraldehyde_3				729			G3P_13C_2	
3-phosphoglyceraldehyde_4				729			G3P_13C_3	
6-Phosphogluconate				91493			6PG	UM_Target_ID
6-Phosphogluconate_13C_1				91493			6PG_13C_1	UM_Target_ID
6-Phosphogluconate_13C_2				91493			6PG_13C_2	UM_Target_ID
6-Phosphogluconate_13C_3				91493			6PG_13C_3	UM_Target_ID
6-Phosphogluconate_13C_4				91493			6PG_13C_4	UM_Target_ID
6-Phosphogluconate_13C_5				91493			6PG_13C_5	UM_Target_ID
6-Phosphogluconate_13C_6				91493			6PG_13C_6	UM_Target_ID
Acetyl-CoA				444493			aCoA	UM_Target_ID
Acetyl-CoA_13C_1				444493			aCoA_13C_1	UM_Target_ID
Acetyl-CoA_13C_2				444493			aCoA_13C_2	UM_Target_ID
Adenosine diphosphate_13C_1				6022			ADP_13C_1	UM_Target_ID
Adenosine diphosphate_13C_2				6022			ADP_13C_2	UM_Target_ID
Adenosine diphosphate_13C_3				6022			ADP_13C_3	UM_Target_ID
Adenosine diphosphate_13C_4				6022			ADP_13C_4	UM_Target_ID
Adenosine diphosphate_13C_5				6022			ADP_13C_5	UM_Target_ID
Adenosine monophosphate_13C_1				6083			AMP_13C_1	UM_Target_ID
Adenosine monophosphate_13C_2				6083			AMP_13C_2	UM_Target_ID
Adenosine monophosphate_13C_3				6083			AMP_13C_3	UM_Target_ID
Adenosine monophosphate_13C_4				6083			AMP_13C_4	UM_Target_ID
Adenosine monophosphate_13C_5				6083			AMP_13C_5	UM_Target_ID
Adenosine triphosphate_13C_1				5957			ATP_13C_1	UM_Target_ID
Adenosine triphosphate_13C_2				5957			ATP_13C_2	UM_Target_ID
Adenosine triphosphate_13C_3				5957			ATP_13C_3	UM_Target_ID
Adenosine triphosphate_13C_4				5957			ATP_13C_4	UM_Target_ID
Adenosine triphosphate_13C_5				5957			ATP_13C_5	UM_Target_ID
ADP				6022			ADP	UM_Target_ID
AMP				6083			AMP	UM_Target_ID
Aspartate				424			ASP	UM_Target_ID
Aspartate_13C_1				424			ASP_13C_1	UM_Target_ID
Aspartate_13C_2				424			ASP_13C_2	UM_Target_ID
Aspartate_13C_3				424			ASP_13C_3	UM_Target_ID
Aspartate_13C_4				424			ASP_13C_4	UM_Target_ID
ATP				5957			ATP	UM_Target_ID
Citrate or Isocitrate				311			CIT/ICIT	UM_Target_ID
Citrate or Isocitrate_13C_1				311			CIT/ICIT_13C_1	UM_Target_ID
Citrate or Isocitrate_13C_2				311			CIT/ICIT_13C_2	UM_Target_ID
Citrate or Isocitrate_13C_3				311			CIT/ICIT_13C_3	UM_Target_ID
Citrate or Isocitrate_13C_4				311			CIT/ICIT_13C_4	UM_Target_ID
Citrate or Isocitrate_13C_5				311			CIT/ICIT_13C_5	UM_Target_ID
Citrate or Isocitrate_13C_6				311			CIT/ICIT_13C_6	UM_Target_ID
Erythrose 4-phosphate				122357			E4P	UM_Target_ID
Erythrose 4-phosphate_2				122357			E4P_13C_1	
Erythrose 4-phosphate_3				122357			E4P_13C_2	
Erythrose 4-phosphate_4				122357			E4P_13C_3	
Erythrose 4-phosphate_5				122357			E4P_13C_4	
Fructose 1,6-bisphosphate				21125049			FBP	
Fructose 1,6-bisphosphate_2				21125049			FBP_13C_1	
Fructose 1,6-bisphosphate_3				21125049			FBP_13C_2	
Fructose 1,6-bisphosphate_4				21125049			FBP_13C_3	
Fructose 1,6-bisphosphate_5				21125049			FBP_13C_4	
Fructose 1,6-bisphosphate_6				21125049			FBP_13C_5	
Fructose 1,6-bisphosphate_7				21125049			FBP_13C_6	
Glucose 6-phosphate or fructose-6-phosphate				5958			G6P/F6P	
Glucose 6-phosphate or fructose-6-phosphate_2				5958			G6P/F6P_13C_1	
Glucose 6-phosphate or fructose-6-phosphate_3				5958			G6P/F6P_13C_2	
Glucose 6-phosphate or fructose-6-phosphate_4				5958			G6P/F6P_13C_3	
Glucose 6-phosphate or fructose-6-phosphate_5				5958			G6P/F6P_13C_4	
Glucose 6-phosphate or fructose-6-phosphate_6				5958			G6P/F6P_13C_5	
Glucose 6-phosphate or fructose-6-phosphate_7				5958			G6P/F6P_13C_6	
Glutamate				611			GLU	
Glutamate_2				611			GLU_13C_1	
Glutamate_3				611			GLU_13C_2	
Glutamate_4				611			GLU_13C_3	
Glutamate_5				611			GLU_13C_4	
Glutamate_6				611			GLU_13C_5	
Lactate				612			LAC	
Lactate_2				612			LAC_13C_1	
Lactate_3				612			LAC_13C_2	
Lactate_4				612			LAC_13C_3	
Malate				525			MAL	
Malate_2				525			MAL_13C_1	
Malate_3				525			MAL_13C_2	
Malate_4				525			MAL_13C_3	
Malate_5				525			MAL_13C_4	
Malonyl-CoA				10663			mCoA	
Malonyl-CoA_2				10663			mCoA_13C_1	
Malonyl-CoA_3				10663			mCoA_13C_2	
Malonyl-CoA_4				10663			mCoA_13C_3	
Nicotinamide Adenine Dinucleotide oxidized				15938971			NAD	
Nicotinamide Adenine Dinucleotide oxidized_2				15938971			NAD_13C_1	
Nicotinamide Adenine Dinucleotide oxidized_3				15938971			NAD_13C_2	
Nicotinamide Adenine Dinucleotide oxidized_4				15938971			NAD_13C_3	
Nicotinamide Adenine Dinucleotide oxidized_5				15938971			NAD_13C_4	
Nicotinamide Adenine Dinucleotide oxidized_6				15938971			NAD_13C_5	
Nicotinamide Adenine Dinucleotide reduced				439153			NADH	
Nicotinamide Adenine Dinucleotide reduced_2				439153			NADH_13C_1	
Nicotinamide Adenine Dinucleotide reduced_3				439153			NADH_13C_2	
Nicotinamide Adenine Dinucleotide reduced_4				439153			NADH_13C_3	
Nicotinamide Adenine Dinucleotide reduced_5				439153			NADH_13C_4	
Nicotinamide Adenine Dinucleotide reduced_6				439153			NADH_13C_5	
Phosphoenolpyruvate				1005			PEP	
Phosphoenolpyruvate_2				1005			PEP_13C_1	
Phosphoenolpyruvate_3				1005			PEP_13C_2	
Phosphoenolpyruvate_4				1005			PEP_13C_3	
Ribose-5-phosphate or xylulose 5-phosphate				77982			R5P/X5P	
Ribose-5-phosphate or xylulose 5-phosphate_2				77982			R5P/X5P_13C_1	
Ribose-5-phosphate or xylulose 5-phosphate_3				77982			R5P/X5P_13C_2	
Ribose-5-phosphate or xylulose 5-phosphate_4				77982			R5P/X5P_13C_3	
Ribose-5-phosphate or xylulose 5-phosphate_5				77982			R5P/X5P_13C_4	
Ribose-5-phosphate or xylulose 5-phosphate_6				77982			R5P/X5P_13C_5	
Sedoheptulose 7-phosphate				165007			S7P	
Sedoheptulose 7-phosphate_2				165007			S7P_13C_1	
Sedoheptulose 7-phosphate_3				165007			S7P_13C_2	
Sedoheptulose 7-phosphate_4				165007			S7P_13C_3	
Sedoheptulose 7-phosphate_5				165007			S7P_13C_4	
Sedoheptulose 7-phosphate_6				165007			S7P_13C_5	
Sedoheptulose 7-phosphate_7				165007			S7P_13C_6	
Sedoheptulose 7-phosphate_8				165007			S7P_13C_7	
Sucrose				5988			SUC	
Sucrose_2				5988			SUC_13C_1	
Sucrose_3				5988			SUC_13C_2	
Sucrose_4				5988			SUC_13C_3	
Sucrose_5				5988			SUC_13C_4	
METABOLITES_END
#END
